"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"BOHR3,5";"BOHR3,5";"DRL1, DRL2, DRL3, DRL4";"";"";
"4";"";"OPEN";"CP_OP";"JP1, JP2, JP3, JP4";"open Cutpad";"";
"1";"";"PINHD-2X20WV";"2X20WV";"J1";"";"";
"2";"100n";"CAP01";"C-2,5";"C1, C2";"";"";
"5";"10k";"RES04";"R-10";"R1, R2, R3, R4, R6";"";"";
"1";"1N5402";"1N5402";"DO-201";"D1";"";"";
"1";"330R";"RES04";"R-10";"R5";"";"";
"1";"3mm/gn";"3MM";"3MM";"LD1";"";"";
"1";"74LS20";"7420N";"DIL-14";"IC2";"";"";
"1";"COMBI_2P";"COMBI_2P";"COMBI-2P";"JP5";"";"";
"1";"DIPSW-05";"DIPSW-05";"DIPSW-05VJ";"SW2";"";"";
"1";"JTP-1130";"JTP-1130";"JTP-1130";"SW1";"";"";
"1";"JUMPER2X3";"JUMPER2X3";"2X03";"JP6";"";"";
"1";"M27C512-DIP28";"M27C512-DIP28";"DIL28-6";"IC1";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$13";"";"";
